CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
ES;Andalusia;AGP;1/1/20;20/1/20;33;48;241;365;589,2741;406,7157;1734,437;2304,6927;303,7297;466,8265;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;20/1/20;4;;17;;59,0364;;149,1736;;10,318;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;20/1/20;5;15;46;84;66,3668;130,9587;153,2892;741,7831;72,8863;297,2921;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;21/1/20;14;62;105;539;154,8846;880,7742;846,4465;4142,8444;103,0716;610,9001;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;22/1/20;133;158;1206;1353;3243,2157;2086,8834;7954,8456;10540,9099;1554,8353;2297,8487;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;23/1/20;188;181;1429;1458;4450,9851;2773,1883;11015,7495;12398,2432;1712,8528;3119,3319;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;23/1/20;35;62;294;454;589,8738;997,4939;2229,8833;4267,6604;331,066;619,0606;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;23/1/20;9;;29;;326,3222;;244,2727;;37,416;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;23/1/20;5;27;33;137;100,0946;106,8897;414,562;1564,612;41,1727;137,6159;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;25/1/20;202;227;2027;1954;5641,5573;5186,2067;17314,5162;17557,589;3068,5102;4360,4903;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;25/1/20;8;;39;;93,4638;;393,9668;;38,9946;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;25/1/20;10;35;111;284;546,3601;399,0619;748,2757;2172,7629;242,2088;394,4951;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;26/1/20;36;53;323;501;1128,4883;618,0962;2753,8103;3683,0878;611,3476;627,973;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;26/1/20;4;;22;;129,0695;;287,6363;;247,5515;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;26/1/20;8;24;63;165;440,2103;179,3784;423,6943;1513,169;357,3256;140,2279;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;28/1/20;102;122;1017;1189;2313,768692;1946,168156;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;28/1/20;27;41;180;275;229,8899;406,1517298;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;28/1/20;2;;18;;27,9761;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;28/1/20;9;22;78;110;213,1665;28,2252;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;29/1/20;30;53;231;374;369,4662;337,6233479;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;30/1/20;180;169;1730;1539;3972,007826;3016,878012;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;31/1/20;203;154;1886;1123;4853,384454;3218,979771;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;31/1/20;45;53;354;349;900,706686;435,6511636;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;31/1/20;6;;27;;205,3844223;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/1/20;31/1/20;6;25;24;119;225,7589;124,1403;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;1/2/20;32;60;298;428;895,2522339;695,266081;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;1/2/20;8;;43;;215,8053124;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;1/2/20;7;24;65;203;421,8307;613,8099;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;3/2/20;116;132;1396;1264;3956,126471;3014,839356;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;3/2/20;26;40;269;330;1193,220805;339,4459802;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;3/2/20;4;;36;;90,5907;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;3/2/20;4;23;16;183;99,7334;238,2779694;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;4/2/20;19;38;148;290;306,5734;517,1968802;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;4/2/20;2;;20;;138,6348;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;5/2/20;94;93;825;941;2453,874309;2047,104219;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;6/2/20;134;114;1202;856;3984,742666;1911,831469;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;6/2/20;29;46;170;308;450,4789231;686,327338;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;6/2/20;4;;22;;153,8299843;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;6/2/20;3;21;17;152;72,9147;201,3985;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;8/2/20;160;130;1655;1167;5440,922599;3217,390237;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;8/2/20;5;;17;;117,2733884;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;8/2/20;9;17;66;122;361,9666;207,0791;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;9/2/20;18;40;132;279;301,8636041;498,466705;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;9/2/20;4;;21;;104,1905711;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;9/2/20;12;16;68;109;369,155843;118,5756;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;11/2/20;97;82;1121;893;3225,186437;2076,49151;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;11/2/20;18;33;141;251;328,9015;375,7497504;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;11/2/20;1;;5;;18,85950413;;0;;0;;Sigger;InterRent MT
